AAL.L
ABF.L
ADM.L
ADN.L
AHT.L
ANTO.L
ARM.L
AV.L
AZN.L
BA.L
BAB.L
BARC.L
BATS.L
BDEV.L
BG.L
BKG.L
BLND.L
BLT.L
BNZL.L
BP.L
BRBY.L
BT-A.L
CCL.L
CNA.L
CPG.L
CPI.L
CRH.L
DC.L
DGE.L
DLG.L
EXPN.L
EZJ.L
FRES.L
GFS.L
GKN.L
GLEN.L
GSK.L
HIK.L
HL.L
HMSO.L
HSBA.L
IAG.L
IHG.L
III.L
IMT.L
INTU.L
ISAT.L
ITRK.L
ITV.L
JMAT.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSE.L
MGGT.L
MKS.L
MNDI.L
MRW.L
NG.L
NXT.L
OML.L
PRU.L
PSON.L
RB.L
RBS.L
RDSA.L
RDSB.L
REL.L
RIO.L
RMG.L
RR.L
RRS.L
RSA.L
SAB.L
SBRY.L
SDR.L
SGE.L
SHP.L
SKY.L
SL.L
SMIN.L
SN.L
SPD.L
SSE.L
STAN.L
STJ.L
SVT.L
TPK.L
TSCO.L
TUI.L
TW.L
ULVR.L
UU.L
VOD.L
WOS.L
WPP.L
WTB.L
