ABI.BR
AI.PA
AIR.PA
ALV.DE
ASML.AS
BAS.DE
BAYN.DE
BBVA.MC
BMW.DE
BN.PA
BNP.PA
CA.PA
CS.PA
DAI.DE
DBK.DE
DG.PA
DPW.DE
DTE.DE
EI.PA
ENEL.MI
ENGI.PA
ENI.MI
EOAN.DE
FP.PA
FRE.DE
G.MI
GLE.PA
IBE.MC
INGA.AS
ISP.MI
ITX.MC
MC.PA
MUV2.DE
NOKIA.HE
OR.PA
ORA.PA
PHIA.AS
SAF.PA
SAN.MC
SAN.PA
SAP.DE
SGO.PA
SIE.DE
SU.PA
TEF.MC
UCG.MI
UL.PA
UNA.AS
VIV.PA
VOW3.DE
